Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie Url,Movie Streaming Service
untitled-shahid-kapoor-kriti-sanon-film,2024,Mystery & Thriller,6.1  (18k),https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,Bookmyshow
saben-aquell,2023,Drama,8.3  (43k),https://www.justwatch.com/in/movie/saben-aquell,Provider not found
godzilla-minus-one,2023,Drama,7.0  (2k),https://www.justwatch.com/in/movie/godzilla-minus-one,Provider not found
20-000-species-of-bees,2023,History,6.3  (35k),https://www.justwatch.com/in/movie/20-000-species-of-bees,Provider not found
the-family-plan,2023,Mystery & Thriller,7.5  (3k),https://www.justwatch.com/in/movie/the-family-plan,Apple TV Plus
three-of-us,2023,Action & Adventure,7.0  (5k),https://www.justwatch.com/in/movie/three-of-us,Netflix
kannagi,2023,Mystery & Thriller,7.6  (27k),https://www.justwatch.com/in/movie/kannagi,Provider not found
kho-gaye-hum-kahan,2023,Drama,6.8  (140k),https://www.justwatch.com/in/movie/kho-gaye-hum-kahan,Netflix
the-creator,2023,Action & Adventure,5.2  (22k),https://www.justwatch.com/in/movie/the-creator,Apple TV
gadar-2,2023,Mystery & Thriller,6.4  (109k),https://www.justwatch.com/in/movie/gadar-2,Zee5
napoleon-2023,2023,Action & Adventure,6.4  (7k),https://www.justwatch.com/in/movie/napoleon-2023,Apple TV
orion-and-the-dark,2024,Crime,7.0,https://www.justwatch.com/in/movie/orion-and-the-dark,Netflix
abraham-ozler,2024,Drama,6.4  (5k),https://www.justwatch.com/in/movie/abraham-ozler,Provider not found
the-passenger-2023,2023,Mystery & Thriller,6.0  (19k),https://www.justwatch.com/in/movie/the-passenger-2023,Amazon Prime Video
