Show names,Release year,Genere,url,Imdb Ratings,streaming service
ek-thi-begum,2020,Animation,https://www.justwatch.com/in/tv-show/ek-thi-begum,8.6  (6k),MX Player
the-freelancer,2023,Action & Adventure,https://www.justwatch.com/in/tv-show/the-freelancer,8.1  (5k),Hotstar
love-never-lies-poland,2022,Fantasy,https://www.justwatch.com/in/tv-show/love-never-lies-poland,,Netflix
marry-my-husband,2024,Drama,https://www.justwatch.com/in/tv-show/marry-my-husband,8.0  (1k),Amazon Prime Video
loki,2021,Western,https://www.justwatch.com/in/tv-show/loki,8.2  (404k),Hotstar
aashram,2020,Animation,https://www.justwatch.com/in/tv-show/aashram,7.4  (32k),MX Player
one-day,2024,Action & Adventure,https://www.justwatch.com/in/tv-show/one-day,8.1  (5k),Netflix
shark-tank-india,2021,Fantasy,https://www.justwatch.com/in/tv-show/shark-tank-india,8.7  (4k),Sony Liv
my-demon,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/my-demon,7.8  (6k),Netflix
scam-1992,2020,Science-Fiction,https://www.justwatch.com/in/tv-show/scam-1992,9.3  (150k),Sony Liv
succession,2018,Action & Adventure,https://www.justwatch.com/in/tv-show/succession,8.8  (261k),Jio Cinema
house,2004,Drama,https://www.justwatch.com/in/tv-show/house,8.7  (502k),Netflix
gandii-baat,2018,Comedy,https://www.justwatch.com/in/tv-show/gandii-baat,3.4  (2k),Alt Balaji
the-railway-men-the-untold-story-of-bhopal-1984,2023,Crime,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984,8.5  (19k),Netflix
ted,2024,Mystery & Thriller,https://www.justwatch.com/in/tv-show/ted,8.0  (18k),Provider not found
breaking-bad,2008,Crime,https://www.justwatch.com/in/tv-show/breaking-bad,9.5  (2m),Netflix
expats,2024,Drama,https://www.justwatch.com/in/tv-show/expats,5.9  (2k),Amazon Prime Video
percy-jackson-and-the-olympians,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/percy-jackson-and-the-olympians,7.2  (28k),Provider not found
the-family-man,2019,Drama,https://www.justwatch.com/in/tv-show/the-family-man,8.7  (97k),Amazon Prime Video
flames,2018,Horror,https://www.justwatch.com/in/tv-show/flames,8.9  (32k),Amazon Prime Video
gullak,2019,Science-Fiction,https://www.justwatch.com/in/tv-show/gullak,9.1  (20k),Sony Liv
dark-desire,2020,Mystery & Thriller,https://www.justwatch.com/in/tv-show/dark-desire,6.5  (9k),Netflix
taaza-khabar,2023,Action & Adventure,https://www.justwatch.com/in/tv-show/taaza-khabar,8.1  (47k),Hotstar
spartacus,2010,Drama,https://www.justwatch.com/in/tv-show/spartacus,8.5  (254k),Lionsgate Play
