Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie Url,Movie Streaming Service
the-holdovers,2023,Crime,6.6  (41k),https://www.justwatch.com/in/movie/the-holdovers,Provider not found
rocky-aur-rani-ki-prem-kahani,2023,Romance,6.0  (11k),https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani,Amazon Prime Video
yaariyan-2,2023,Western,6.0  (19k),https://www.justwatch.com/in/movie/yaariyan-2,Provider not found
starfish-2023,2023,Action & Adventure,8.2  (71k),https://www.justwatch.com/in/movie/starfish-2023,Netflix
uri-the-surgical-strike,2019,Mystery & Thriller,7.5  (2k),https://www.justwatch.com/in/movie/uri-the-surgical-strike,Zee5
three-of-us,2023,Drama,8.8  (2m),https://www.justwatch.com/in/movie/three-of-us,Netflix
inception,2010,Action & Adventure,8.3  (5k),https://www.justwatch.com/in/movie/inception,Apple TV
chittha,2023,Mystery & Thriller,8.0  (8k),https://www.justwatch.com/in/movie/chittha,Hotstar
atharva,2023,Action & Adventure,7.6  (27k),https://www.justwatch.com/in/movie/atharva,Amazon Prime Video
kho-gaye-hum-kahan,2023,Mystery & Thriller,6.3  (35k),https://www.justwatch.com/in/movie/kho-gaye-hum-kahan,Netflix
the-family-plan,2023,Drama,8.1  (8k),https://www.justwatch.com/in/movie/the-family-plan,Apple TV Plus
jigarthanda-doublex,2023,Action & Adventure,6.4  (107k),https://www.justwatch.com/in/movie/jigarthanda-doublex,Netflix
napoleon-2023,2023,Science-Fiction,8.3  (43k),https://www.justwatch.com/in/movie/napoleon-2023,Apple TV
godzilla-minus-one,2023,Crime,7.8,https://www.justwatch.com/in/movie/godzilla-minus-one,Provider not found
warning-2,2024,Drama,6.4  (5k),https://www.justwatch.com/in/movie/warning-2,Provider not found
the-passenger-2023,2023,Mystery & Thriller,6.8  (138k),https://www.justwatch.com/in/movie/the-passenger-2023,Amazon Prime Video
the-creator,2023,Drama,6.1  (18k),https://www.justwatch.com/in/movie/the-creator,Apple TV
the-kid-who-would-be-king,2019,Mystery & Thriller,5.2  (22k),https://www.justwatch.com/in/movie/the-kid-who-would-be-king,Hotstar
gadar-2,2023,History,7.0  (5k),https://www.justwatch.com/in/movie/gadar-2,Zee5
kannagi,2023,Science-Fiction,6.8  (515k),https://www.justwatch.com/in/movie/kannagi,Amazon Prime Video
aquaman,2018,Action & Adventure,7.0  (2k),https://www.justwatch.com/in/movie/aquaman,Apple TV
20-000-species-of-bees,2023,Drama,8.4  (1m),https://www.justwatch.com/in/movie/20-000-species-of-bees,Provider not found
